search_term,uniprot_accession,gene_name,description,ec_number,synonyms,location,keywords,go_terms,family,zinc_link,cansar_link,nearest_drug_target,matching_drug_target_50,matching_drug_target_35,number_of_3d_structure,number_of_3d_structure_with_small_molecule_ligand,number_of_3d_structure_with_druggability,number_of_3d_structure_druggable,percentage_of_3d_structure_druggable,number_of_3d_structure_tractable,percentage_of_3d_structure_tractable,ligand_druggability_score,ligand_druggability_percentile_rank,matching_protein_variants,screened_compounds,screened_compounds_active,screened_compounds_active_ro5,screened_fragments,screened_fragments_active,screened_fragments_active_ro5,most_prevalent_mutation,most_prevalent_cnv,highest_expressing_celllines
,P13056,NR2C1,"Nuclear receptor subfamily 2 group C member 1",,"NR2C1_HUMAN, NR2C1, TR2","Nucleus, Nucleus, PML body","P13056 NR2C1_HUMAN Nuclear receptor subfamily 2 group C member 1 P13056,A8K5K4,Q15625,Q15626 Orphan nuclear receptor TR2, Testicular receptor 2 TR2","nuclear chromatin, nucleoplasm, pml body","nuclear hormone receptor family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=NR2C1_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P13056/,"64.94|P28702|RXRB|to be filled in,to be filled in|Whole:::Protein","64.94|P28702|RXRB|to be filled in,to be filled in|Whole:::Protein||60.00|P13631|RARG|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||60.00|P10276|RARA|to be filled in,to be filled in,to be filled in|Whole:::Protein||58.82|Q96RI1|NR1H4|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||58.75|P10826|RARB|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||58.67|P10828|THRB|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||54.35|P10827|THRA|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein","64.94|P28702|RXRB|to be filled in,to be filled in|Whole:::Protein||60.00|P13631|RARG|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||60.00|P10276|RARA|to be filled in,to be filled in,to be filled in|Whole:::Protein||58.82|Q96RI1|NR1H4|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||58.75|P10826|RARB|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||58.67|P10828|THRB|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||54.35|P10827|THRA|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||48.39|P48443|RXRG|to be filled in,to be filled in|Whole:::Protein||47.78|Q07869|PPARA|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||47.37|P03372|ESR1|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||46.72|P19793|RXRA|to be filled in,to be filled in,to be filled in|Whole:::Protein||46.02|P37231|PPARG|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||45.45|P04150|NR3C1|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||43.30|P11473|VDR|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||43.18|P06401|PGR|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||40.71|Q92731|ESR2|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein",0,0,0,0,0,0,0,2,97,1,2,0,0,1,0,0,,,
,P49116,NR2C2,"Nuclear receptor subfamily 2 group C member 2",,"NR2C2_HUMAN, NR2C2, TAK1, TR4",Nucleus,"P49116 NR2C2_HUMAN Nuclear receptor subfamily 2 group C member 2 P49116,A8K3H5,B6ZGT8,P55092 Orphan nuclear receptor TAK1, Orphan nuclear receptor TR4, Testicular receptor 4 TAK1, TR4","nuclear chromatin, nucleoplasm","nuclear hormone receptor family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=NR2C2_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P49116/,"65.79|P28702|RXRB|to be filled in,to be filled in|Whole:::Protein","65.79|P28702|RXRB|to be filled in,to be filled in|Whole:::Protein||58.75|P13631|RARG|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||56.25|P10827|THRA|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||56.16|Q96RI1|NR1H4|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||53.75|P10828|THRB|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||51.19|P37231|PPARG|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||50.47|P10826|RARB|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein","65.79|P28702|RXRB|to be filled in,to be filled in|Whole:::Protein||58.75|P13631|RARG|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||56.25|P10827|THRA|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||56.16|Q96RI1|NR1H4|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||53.75|P10828|THRB|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||51.19|P37231|PPARG|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||50.47|P10826|RARB|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||48.48|P06401|PGR|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||45.12|P04150|NR3C1|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||44.94|P03372|ESR1|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||44.53|P10276|RARA|to be filled in,to be filled in,to be filled in|Whole:::Protein||43.30|P11473|VDR|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||42.57|Q92731|ESR2|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||36.80|P19793|RXRA|to be filled in,to be filled in,to be filled in|Whole:::Protein||36.55|P48443|RXRG|to be filled in,to be filled in|Whole:::Protein||35.27|P48443|RXRG|to be filled in,to be filled in|Whole:::Protein",1,0,1,0,0,1,100,2.05,97,1,44,8,3,40,7,3,,,
,P24468,NR2F2,"COUP transcription factor 2",,"COT2_HUMAN, NR2F2, ARP1, TFCOUP2",Nucleus,"P24468 COT2_HUMAN COUP transcription factor 2 P24468,B4DQJ2,B6ZGU1,Q03754,Q3KQR7 Apolipoprotein A-I regulatory protein 1, COUP transcription factor II, Nuclear receptor subfamily 2 group F member 2 ARP1, TFCOUP2","cytosol, nuclear chromatin, nucleoplasm, nucleus","nuclear hormone receptor family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=COT2_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P24468/,"46.91|P11473|VDR|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein",,"46.91|P11473|VDR|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||44.04|P48443|RXRG|to be filled in,to be filled in|Whole:::Protein||43.43|P19793|RXRA|to be filled in,to be filled in,to be filled in|Whole:::Protein||41.18|P28702|RXRB|to be filled in,to be filled in|Whole:::Protein",1,0,1,1,100,1,100,0.3,83,1,2,0,0,1,0,0,,,
,P10588,NR2F6,"Nuclear receptor subfamily 2 group F member 6",,"NR2F6_HUMAN, NR2F6, EAR2, ERBAL2",Nucleus,"P10588 NR2F6_HUMAN Nuclear receptor subfamily 2 group F member 6 P10588,B2RC68,Q5XGA0,Q6P586,Q9BUE8 V-erbA-related protein 2 EAR2, ERBAL2","nuclear chromatin, nucleoplasm, nucleus","nuclear hormone receptor family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=NR2F6_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P10588/,"62.67|P28702|RXRB|to be filled in,to be filled in|Whole:::Protein","62.67|P28702|RXRB|to be filled in,to be filled in|Whole:::Protein||61.33|P10826|RARB|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||57.53|P10828|THRB|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||56.16|P10827|THRA|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||53.09|P37231|PPARG|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||51.35|Q96RI1|NR1H4|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||51.14|Q07869|PPARA|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein","62.67|P28702|RXRB|to be filled in,to be filled in|Whole:::Protein||61.33|P10826|RARB|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||57.53|P10828|THRB|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||56.16|P10827|THRA|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||53.09|P37231|PPARG|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||51.35|Q96RI1|NR1H4|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||51.14|Q07869|PPARA|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||49.38|P11473|VDR|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||41.97|P28702|RXRB|to be filled in,to be filled in|Whole:::Protein||41.49|P48443|RXRG|to be filled in,to be filled in|Whole:::Protein||41.37|P19793|RXRA|to be filled in,to be filled in,to be filled in|Whole:::Protein",0,0,0,0,0,0,0,1.15,92,1,2,0,0,1,0,0,,,
,P22736,NR4A1,"Nuclear receptor subfamily 4 group A member 1",,"NR4A1_HUMAN, NR4A1, GFRP1, HMR, NAK1","Nucleus, Cytoplasm, Mitochondrion","P22736 NR4A1_HUMAN Nuclear receptor subfamily 4 group A member 1 P22736,B4DML7,Q15627,Q53Y00,Q6IBU8 Early response protein NAK1, Nuclear hormone receptor NUR/77, Orphan nuclear receptor HMR, Orphan nuclear receptor TR3, ST-59, Testicular receptor 3 GFRP1, HMR, NAK1","cytosol, mitochondrion, nuclear chromatin, nuclear membrane, nucleoplasm, nucleus, transcription regulator complex","nuclear hormone receptor family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=NR4A1_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P22736/,"42.70|P11473|VDR|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein",,"42.70|P11473|VDR|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||36.97|P13631|RARG|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||35.14|P10826|RARB|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein",17,10,17,14,83,17,100,0.35,83,1,24,1,1,12,1,1,,,
,P43354,NR4A2,"Nuclear receptor subfamily 4 group A member 2",,"NR4A2_HUMAN, NR4A2, NOT, NURR1, TINUR","Cytoplasm, Nucleus","P43354 NR4A2_HUMAN Nuclear receptor subfamily 4 group A member 2 P43354,Q16311,Q53RZ2,Q6NXU0 Immediate-early response protein NOT, Orphan nuclear receptor NURR1, Transcriptionally-inducible nuclear receptor NOT, NURR1, TINUR","cytoplasm, nuclear chromatin, nuclear speck, nucleoplasm, nucleus, protein-containing complex, transcription regulator complex","nuclear hormone receptor family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=NR4A2_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P43354/,"41.67|P11473|VDR|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein",,"41.67|P11473|VDR|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein",6,3,6,4,67,6,100,1,90,1,22,9,6,7,4,1,,,
,Q16656,NRF1,"Nuclear respiratory factor 1",,"NRF1_HUMAN, NRF1",Nucleus,"Q16656 NRF1_HUMAN Nuclear respiratory factor 1 Q16656,A8K4C6,B4DDV6,Q15305,Q96AN2 Alpha palindromic-binding protein ","cytosol, extracellular exosome, nucleoplasm, nucleus","NRF1/Ewg family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=NRF1_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q16656/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,Q8N2R0,OSR2,"Protein odd-skipped-related 2",,"OSR2_HUMAN, OSR2",Nucleus,"Q8N2R0 OSR2_HUMAN Protein odd-skipped-related 2 Q8N2R0,A8K626,B4E3B7,Q96AM6,Q96LB6,Q96LB7  ",nucleus,"Odd C2H2-type zinc-finger protein family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=OSR2_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q8N2R0/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,P40424,PBX1,"Pre-B-cell leukemia transcription factor 1",,"PBX1_HUMAN, PBX1, PRL",Nucleus,"P40424 PBX1_HUMAN Pre-B-cell leukemia transcription factor 1 P40424,B4DSC1,F5H4U9,Q5T488 Homeobox protein PBX1, Homeobox protein PRL PRL","cytoplasm, nuclear chromatin, nucleoplasm, nucleus, rna polymerase ii transcription regulator complex","TALE/PBX homeobox family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=PBX1_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P40424/,,,,2,0,2,0,0,2,100,-3,59,,,,,,,,,,
,P40425,PBX2,"Pre-B-cell leukemia transcription factor 2",,"PBX2_HUMAN, PBX2, G17",Nucleus,"P40425 PBX2_HUMAN Pre-B-cell leukemia transcription factor 2 P40425,A2BFJ2 Homeobox protein PBX2, Protein G17 G17","nuclear chromatin, nucleus, transcription regulator complex","TALE/PBX homeobox family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=PBX2_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P40425/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,P78337,PITX1,"Pituitary homeobox 1",,"PITX1_HUMAN, PITX1, BFT, PTX1",Nucleus,"P78337 PITX1_HUMAN Pituitary homeobox 1 P78337,A8K3M0,D3DQB0,O14677,O60425,Q9BTI5 Hindlimb-expressed homeobox protein backfoot, Homeobox protein PITX1, Paired-like homeodomain transcription factor 1 BFT, PTX1","cytoplasm, nuclear chromatin, nucleus, transcription regulator complex","paired homeobox family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=PITX1_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P78337/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,P55347,PKNOX1,"Homeobox protein PKNOX1",,"PKNX1_HUMAN, PKNOX1, PREP1",Nucleus,"P55347 PKNX1_HUMAN Homeobox protein PKNOX1 P55347,O00528,Q8IWT7 Homeobox protein PREP-1, PBX/knotted homeobox 1 PREP1","cytoplasm, nuclear chromatin, transcription regulator complex","TALE/MEIS homeobox family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=PKNX1_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P55347/,,,,1,0,1,0,0,1,100,-3,59,,,,,,,,,,
,Q9UM63,PLAGL1,"Zinc finger protein PLAGL1",,"PLAL1_HUMAN, PLAGL1, LOT1, ZAC",Nucleus,"Q9UM63 PLAL1_HUMAN Zinc finger protein PLAGL1 Q9UM63,B2RBA4,B2RCM8,E1P595,E1P597,O76019,Q7Z3V8,Q92981,Q96JR9,Q9UIZ0 Lost on transformation 1, Pleiomorphic adenoma-like protein 1, Tumor suppressor ZAC LOT1, ZAC","golgi apparatus, intracellular membrane-bounded organelle, nuclear body, nucleoplasm","krueppel C2H2-type zinc-finger protein family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=PLAL1_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q9UM63/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,Q9UPG8,PLAGL2,"Zinc finger protein PLAGL2",,"PLAL2_HUMAN, PLAGL2, KIAA0198",Nucleus,"Q9UPG8 PLAL2_HUMAN Zinc finger protein PLAGL2 Q9UPG8,A8K8T5,E1P5M3,Q92584 Pleiomorphic adenoma-like protein 2 KIAA0198",nucleus,"krueppel C2H2-type zinc-finger protein family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=PLAL2_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q9UPG8/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,P14859,POU2F1,"POU domain, class 2, transcription factor 1",,"PO2F1_HUMAN, POU2F1, OCT1, OTF1",Nucleus,"P14859 PO2F1_HUMAN POU domain, class 2, transcription factor 1 P14859,B1AL91,B1AL93,B4E029,J3KP77,Q5TBT7,Q6PK46,Q8NEU9,Q9BPV1 NF-A1, Octamer-binding protein 1, Octamer-binding transcription factor 1 OCT1, OTF1","endoplasmic reticulum, intracellular membrane-bounded organelle, nuclear chromatin, nucleoplasm, nucleus, rna polymerase ii transcription regulator complex","POU transcription factor family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=PO2F1_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P14859/,,,,8,0,8,0,0,5,63,-3,59,1,1,0,0,1,0,0,,,
,P09086,POU2F2,"POU domain, class 2, transcription factor 2",,"PO2F2_HUMAN, POU2F2, OCT2, OTF2","Cytoplasm, Nucleus","P09086 PO2F2_HUMAN POU domain, class 2, transcription factor 2 P09086,Q16648,Q7M4M8,Q9BRS4 Lymphoid-restricted immunoglobulin octamer-binding protein NF-A2, Octamer-binding protein 2, Octamer-binding transcription factor 2 OCT2, OTF2","cytoplasm, intracellular membrane-bounded organelle, nuclear chromatin, nucleoplasm, nucleus","POU transcription factor family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=PO2F2_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P09086/,,,,1,0,1,0,0,1,100,-3,59,1,14,0,0,7,0,0,,,
,Q07869,PPARA,"Peroxisome proliferator-activated receptor alpha",,"PPARA_HUMAN, PPARA, NR1C1, PPAR",Nucleus,"Q07869 PPARA_HUMAN Peroxisome proliferator-activated receptor alpha Q07869,B0G0X3,Q16241,Q6I9S0,Q92486,Q92689,Q9Y3N1 Nuclear receptor subfamily 1 group C member 1 NR1C1, PPAR","nuclear chromatin, nucleoplasm, nucleus","nuclear hormone receptor family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=PPARA_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q07869/,"100.00|Q07869|PPARA|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein","100.00|Q07869|PPARA|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||65.17|P37231|PPARG|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein","100.00|Q07869|PPARA|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||65.17|P37231|PPARG|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein",55,55,55,52,95,55,100,1.2,92,1,4004,544,136,886,155,45,,,
,Q03181,PPARD,"Peroxisome proliferator-activated receptor delta",,"PPARD_HUMAN, PPARD, NR1C2, PPARB",Nucleus,"Q03181 PPARD_HUMAN Peroxisome proliferator-activated receptor delta Q03181,A8K6J6,B4E3V3,B6ZGS1,B7Z3W1,E9PE18,Q5D1P0,Q7Z5K0,Q9BUD4 NUCI, Nuclear hormone receptor 1, Nuclear receptor subfamily 1 group C member 2, Peroxisome proliferator-activated receptor beta NR1C2, PPARB","nuclear chromatin, nucleoplasm, nucleus","nuclear hormone receptor family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=PPARD_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q03181/,"70.71|Q07869|PPARA|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein","70.71|Q07869|PPARA|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||65.59|P37231|PPARG|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||56.94|P28702|RXRB|to be filled in,to be filled in|Whole:::Protein||53.09|P48443|RXRG|to be filled in,to be filled in|Whole:::Protein||50.00|Q92731|ESR2|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein","70.71|Q07869|PPARA|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||65.59|P37231|PPARG|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||56.94|P28702|RXRB|to be filled in,to be filled in|Whole:::Protein||53.09|P48443|RXRG|to be filled in,to be filled in|Whole:::Protein||50.00|Q92731|ESR2|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein",44,42,44,43,98,44,100,0.95,90,1,2661,530,69,622,135,21,,,
,O75626,PRDM1,"PR domain zinc finger protein 1",2.1.1.-,"PRDM1_HUMAN, PRDM1, BLIMP1","Nucleus, Cytoplasm","O75626 PRDM1_HUMAN PR domain zinc finger protein 1 O75626,B2REA6,E1P5E0,Q86WM7 BLIMP-1, Beta-interferon gene positive regulatory domain I-binding factor, PR domain-containing protein 1, Positive regulatory domain I-binding factor 1 BLIMP1","cytoplasm, nucleoplasm, nucleus",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=PRDM1_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/O75626/,,,,1,0,1,0,0,1,100,-3,59,,,,,,,,,,
,Q9UKN5,PRDM4,"PR domain zinc finger protein 4",2.1.1.-,"PRDM4_HUMAN, PRDM4, PFM1",Nucleus,"Q9UKN5 PRDM4_HUMAN PR domain zinc finger protein 4 Q9UKN5,Q9UFA6 PR domain-containing protein 4 PFM1","cytoplasm, histone methyltransferase complex, nucleus",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=PRDM4_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q9UKN5/,,,,2,0,2,1,50,1,50,-3,59,,,,,,,,,,
